,flight_nbr,flight_time,flight_lat,flight_long
62,AC1207,1679250230,42.049,-73.5423
63,AC7947,1679250230,45.212,-76.7304
64,AC1040,1679250232,41.3059,-95.6956
65,AC108,1679250232,49.6128,-101.9162
66,AC535,1679250233,44.7329,-137.8508
67,AC262,1679250227,43.6668,-79.6152
68,AC8710,1679250231,42.5901,-108.7857
69,AC415,1679250226,45.4592,-73.749
70,AC843,1679250231,56.0539,-5.7635
71,AC297,1679250230,50.0083,-111.8693
72,AC1071,1679250230,45.457,-73.7539
73,AC304,1679250229,49.6076,-105.3844
74,AC264,1679250231,49.8985,-94.8306
75,AC941,1679250227,31.0249,-77.7966
76,AC918,1679250231,33.5229,-80.8873
77,AC136,1679250230,49.771,-97.2191
78,AC664,1679250232,44.869,-64.3979
79,AC1054,1679250232,41.5046,-117.6322
80,AC8742,1679250232,36.9514,-89.1538
81,AC7019,1679250232,42.2312,-105.5782
82,AC912,1679250229,34.9503,-80.8016
83,N/A,1679250231,43.2088,-118.5293
84,AC598,1679250231,40.9524,-120.7308
85,AC970,1679250232,44.7582,-119.8521
86,AC1422,1679250230,44.7746,-107.6456
87,AC7718,1679250232,48.3609,-59.9416
88,AC564,1679250231,42.8895,-123.2657
89,QK764,1679250232,41.3598,-120.4978
90,AC454,1679250230,43.693,-79.6367
91,AC609,1679250232,45.459,-74.8494
92,AC141,1679250230,47.7755,-88.0078
93,QK7688,1679250231,46.0996,-65.3378
94,AC1202,1679250231,38.191,-83.0907
95,AC8118,1679250232,47.7339,-52.8911
96,AC8812,1679250231,38.1278,-91.5451
97,AC610,1679250230,44.2732,-69.2667
98,AC903,1679250230,32.1748,-77.8778
99,AC8767,1679250230,36.5487,-121.0495
100,AC7996,1679250231,45.9174,-67.3331
101,AC211,1679250231,49.5894,-121.7759
102,AC8299,1679250231,49.1944,-123.1855
103,AC690,1679250230,45.1357,-69.4485
104,AC789,1679250230,43.2906,-86.6697
105,AC7918,1679250231,45.5861,-68.564
106,AC8671,1679250229,42.1481,-75.6168
107,AC8521,1679250230,42.9021,-78.6217
108,AC8719,1679250230,44.0932,-85.0973
109,AC8520,1679250231,42.0608,-74.1777
110,AC8440,1679250230,51.0331,-124.9629
111,AC8823,1679250230,42.4961,-73.8405
112,AC8953,1679250231,40.6141,-80.8688
113,AC305,1679250231,46.3783,-77.6065
114,AC8965,1679250232,45.3794,-75.9798
115,AC892,1679250231,45.6147,-68.7323
116,AC8567,1679250230,43.5963,-75.4179
117,AC8940,1679250230,43.5617,-73.7943
118,N/A,1679250231,49.0985,-123.1263
119,N/A,1679250230,52.8281,-122.4777
120,AC273,1679250230,49.4401,-122.2175
121,AC138,1679250230,50.8879,-109.522
122,AC8638,1679250230,44.2766,-73.9142
123,AC8803,1679250231,49.0316,-122.9253
124,AC7738,1679250231,43.6679,-79.6081
125,AC7982,1679250232,45.9411,-74.4815
126,AC208,1679250231,49.1489,-121.0692
127,AC8676,1679250231,33.5163,-88.4923
128,AC1323,1679250228,21.7758,-72.2709
129,AC904,1679250229,45.3438,-73.824
130,AC455,1679250232,44.7565,-77.8475
131,AC8342,1679250230,51.9718,-123.2525
132,AC236,1679250231,49.8504,-122.5383
133,AC8876,1679250230,43.3505,-78.8359
134,QK7193,1679250232,45.9155,-73.9048
135,AC8581,1679250232,45.467,-73.7332
136,AC8669,1679250230,40.7617,-74.2119
137,AC8855,1679250231,43.3141,-80.0954
138,AC859,1679250218,51.4755,-0.4325
139,AC8932,1679250231,43.2724,-79.6793
140,AC8191,1679250230,50.3183,-107.4178
141,AC8989,1679250231,41.0333,-74.0645
142,AC168,1679250230,53.2735,-112.332
143,AC8606,1679250231,45.4712,-73.7277
144,AC241,1679250229,53.054,-114.0607
145,AC8431,1679250230,43.6765,-79.6801
146,QK785,1679250230,43.6795,-79.6014
147,AC8836,1679250208,43.6854,-79.6284
148,AC145,1679250202,43.6788,-79.6188
149,AC2311,1679250231,43.4335,-79.7097
150,AC552,1679250232,49.1967,-123.172
151,AC204,1679250230,51.1312,-114.0124
152,AC8340,1679250232,53.8926,-122.6712
153,AC8112,1679250231,49.903,-97.23
154,N/A,1679250178,43.68,-79.6067
0,AC35,1679254968,-20.0707,152.9852
1,AC39,1679254971,-30.124,179.1229
2,AC33,1679254963,-14.9845,154.5691
3,AC7,1679254968,29.1281,126.8042
4,AC10,1679254971,55.8523,-97.8931
5,AC25,1679254969,34.581,133.058
6,AC6,1679254967,52.5749,-86.7273
7,AC81,1679254963,56.2245,-65.4413
8,AC62,1679254963,65.9623,-121.2117
9,AC835,1679254968,44.6504,-78.6521
10,AC881,1679254968,49.4569,-72.4409
11,AC849,1679254970,63.8833,-101.6962
12,AC885,1679254969,51.9262,-67.8706
13,AC871,1679254968,45.8165,-72.3382
14,AC1325,1679254968,20.2983,-101.0701
15,AC857,1679254963,55.7932,-54.6146
16,AC775,1679254968,33.9364,-118.4233
17,AC1332,1679254968,21.7758,-72.2709
18,AC851,1679254963,63.8542,-96.9046
19,AC760,1679254970,45.7534,-81.1283
20,AC865,1679254970,49.348,-67.8829
21,AC99,1679254970,45.2791,-73.5769
22,AC986,1679254970,21.0764,-86.7485
23,AC584,1679254970,40.74,-74.1346
24,AC861,1679254971,69.9565,-69.9238
25,AC868,1679254968,51.5638,-2.9315
26,AC956,1679254926,43.6776,-79.6149
27,AC932,1679254965,27.3385,-92.5366
28,AC342,1679254970,45.5066,-75.809
29,AC548,1679254968,43.9631,-82.1031
30,AC1300,1679254969,30.6158,-95.9506
31,AC111,1679254967,49.571,-112.0565
32,AC1040,1679254969,43.4774,-81.4347
33,AC108,1679254970,46.9483,-85.2136
34,AC535,1679254967,38.224,-145.6928
35,AC415,1679254968,43.9253,-78.9797
36,AC843,1679254967,59.4296,-23.1376
37,AC297,1679254970,49.2023,-123.1879
38,AC1071,1679254968,45.1929,-80.0873
39,AC304,1679254968,48.1955,-88.0871
40,AC264,1679254968,44.6786,-80.8367
41,AC941,1679254968,41.5306,-78.5432
42,AC918,1679254969,26.0771,-80.1905
43,AC136,1679254970,45.0856,-81.364
44,AC1054,1679254970,33.4418,-112.2097
45,AC8742,1679254970,43.6391,-79.4819
46,AC7019,1679254968,33.5625,-97.5813
47,AC912,1679254968,26.1508,-80.2266
48,AC598,1679254970,33.6727,-117.8677
49,AC970,1679254969,36.1521,-112.812
50,AC1422,1679254968,35.6294,-99.3375
